avg_goals_rank,home_adv_rank,country,league,num_games,num_teams,avg_goals,home_advantage_score,left_tail,right_tail,countryCode
0,143,Canada,CSL 2017,56,8,4.304,0.025,-0.228,0.27699999999999997,CAN
1,140,Djibouti,Division 1 2016/2017,90,10,3.978,0.045,-0.163,0.252,DJI
2,152,Cambodia,C-League 2017,132,12,3.864,-0.031,-0.205,0.142,KHM
3,103,Estonia,Meistriliiga 2017,180,10,3.656,0.171,0.017,0.324,EST
4,73,New Zealand,Football Championship 2016/2017,90,10,3.567,0.244,0.024,0.465,NZL
5,5,Bolivia,Liga de Futbol Prof 2016/2017,132,12,3.432,0.618,0.498,0.7390000000000001,BOL
6,136,Hong Kong,Premier League 2016/2017,110,11,3.427,0.058,-0.14400000000000002,0.26,HKG
7,52,Thailand,Thai Premier League 2017,306,18,3.389,0.309,0.18600000000000003,0.43200000000000005,THA
8,106,Luxembourg,National Division 2016/2017,182,14,3.319,0.153,-0.006999999999999999,0.313,LUX
9,159,Maldives,Dhivehi Premier League 2017,56,8,3.304,-0.37,-0.782,0.042,MDV
10,123,Seychelles,Division One 2017,132,12,3.303,0.114,-0.075,0.302,SYC
11,135,Gibraltar,Premier Division 2016/2017,132,10,3.288,0.064,-0.126,0.253,GIB
12,138,Sri Lanka,Champions League 2017,143,18,3.266,0.051,-0.133,0.235,LKA
13,148,Andorra,Primera Divisió 2016/2017,83,8,3.265,-0.005,-0.245,0.23600000000000002,AND
14,78,Switzerland,Super League 2016/2017,180,10,3.233,0.235,0.071,0.39799999999999996,CHE
15,83,Philippines,PFL 2017,109,8,3.202,0.218,0.006999999999999999,0.43,PHL
16,120,Faroe Islands,Premier League 2017,134,10,3.187,0.122,-0.068,0.312,FRO
17,97,Nicaragua,Primera Division 2016/2017,179,10,3.156,0.182,0.016,0.34700000000000003,NIC
18,117,Bermuda,Premier League 2016/2017,90,10,3.144,0.134,-0.099,0.368,BMU
19,132,San Marino,Campionato Sammarinese 2016/2017,154,15,3.143,0.085,-0.095,0.264,SMR
20,104,United Arab Emirates,UAE League 2016/2017,182,14,3.137,0.165,0.0,0.33,ARE
21,128,Qatar,Premier League 2016/2017,182,14,3.132,0.105,-0.059000000000000004,0.27,QAT
22,84,Malaysia,Super League 2017,132,12,3.091,0.217,0.021,0.41200000000000003,MYS
23,96,Iceland,Pepsideild 2017,132,12,3.053,0.184,-0.012,0.38,ISL
24,58,China,Super League 2017,240,16,3.05,0.303,0.156,0.449,CHN
25,146,Kuwait,Premier League 2016/2017,210,15,3.048,-0.0,-0.155,0.155,KWT
26,85,Australia,A-League 2016/2017,135,10,3.03,0.213,0.018000000000000002,0.409,AUS
27,95,Saudi Arabia,Saudi Professional League 2016/2017,182,14,3.016,0.186,0.018000000000000002,0.354,SAU
28,137,Singapore,S.League 2017,108,9,2.981,0.056,-0.163,0.275,SGP
29,72,Wales,Premier League 2016/2017,132,12,2.97,0.246,0.047,0.446,WLS
30,7,USA,MLS 2017,374,22,2.968,0.538,0.41600000000000004,0.66,USA
31,71,Italy,Serie A 2016/2017,379,20,2.955,0.257,0.139,0.375,ITA
32,55,Kyrgyzstan,Top Liga 2017,60,6,2.95,0.307,0.009000000000000001,0.606,KGZ
33,68,Spain,LaLiga 2016/2017,380,20,2.942,0.263,0.14400000000000002,0.381,ESP
34,93,Northern Ireland,NIFL Premiership 2016/2017,195,12,2.933,0.188,0.023,0.353,NIR
35,158,Somalia,Nation Link Telecom Championship 2016/2017,90,10,2.922,-0.153,-0.396,0.09,SOM
35,110,Trinidad and Tobago,Pro League 2017,90,10,2.922,0.145,-0.098,0.387,TTO
37,147,Mauritius,Mauritian League 2016/2017,179,10,2.922,-0.001,-0.17300000000000001,0.17,MUS
38,67,Turkmenistan,Yokary Liga 2017,143,9,2.916,0.278,0.084,0.47200000000000003,TKM
39,100,Vietnam,V-League 2017,182,14,2.912,0.174,0.003,0.345,VNM
40,112,Chile,Primera Division 2016/2017,120,16,2.892,0.145,-0.068,0.35700000000000004,CHL
41,61,Netherlands,Eredivisie 2016/2017,306,18,2.889,0.296,0.163,0.43,NLX
42,9,Indonesia,Liga 1 2017,304,18,2.888,0.515,0.37799999999999995,0.6509999999999999,IDN
43,90,Cyprus,First Division 2016/2017,182,14,2.879,0.191,0.019,0.363,CYP
44,111,Malta,Premier League 2016/2017,197,12,2.878,0.145,-0.021,0.31,MLT
45,49,Germany,Bundesliga 2016/2017,306,18,2.866,0.315,0.18100000000000002,0.449,DEU
46,33,Norway,Eliteserien 2017,240,16,2.842,0.368,0.215,0.52,NOR
47,20,Honduras,Liga Nacional 2016/2017,180,10,2.828,0.452,0.273,0.63,HND
48,127,Georgia,Erovnuli Liga 2017,179,10,2.81,0.108,-0.067,0.28300000000000003,GEO
49,64,England,Premier League 2016/2017,380,20,2.8,0.284,0.162,0.405,ENG
50,91,Sweden,Allsvenskan 2017,240,16,2.779,0.189,0.037000000000000005,0.342,SWE
51,102,Ireland,Premier Division 2017,198,12,2.773,0.172,0.004,0.341,IRL
52,131,Lebanon,Premier League 2016/2017,131,12,2.771,0.094,-0.113,0.3,LBN
53,69,Poland,Ekstraklasa 2016/2017,240,16,2.767,0.26,0.107,0.414,POL
54,115,Oman,Professional League 2016/2017,182,14,2.758,0.136,-0.04,0.311,OMN
55,129,South Korea,K-League Classic 2017,198,12,2.737,0.102,-0.067,0.271,KOR
55,122,Finland,Veikkausliiga 2017,198,12,2.737,0.12,-0.049,0.289,FIN
57,37,Belgium,Jupiler League 2016/2017,239,16,2.736,0.359,0.203,0.515,BEL
58,141,Uruguay,Primera Division 2017,240,16,2.729,0.034,-0.12,0.187,URY
59,77,Austria,Tipico Bundesliga 2016/2017,180,10,2.711,0.239,0.06,0.418,AUT
60,80,Turkey,Super Lig 2016/2017,305,18,2.708,0.231,0.094,0.369,TUR
61,92,Tajikistan,Vysshaya Liga 2017,84,8,2.702,0.189,-0.077,0.456,TJK
62,42,Slovakia,Fortuna liga 2016/2017,184,12,2.69,0.339,0.159,0.518,SVK
63,32,Costa Rica,Primera Division 2016/2017,264,12,2.689,0.37,0.221,0.52,CRI
64,94,Scotland,Premiership 2016/2017,198,12,2.687,0.187,0.016,0.358,SCT
65,8,Peru,Primera Division 2017,238,16,2.681,0.52,0.359,0.68,PER
66,79,Mexico,Primera Division 2016/2017,306,18,2.634,0.234,0.095,0.373,MEX
67,109,Swaziland,MTN Premier League 2016/2017,131,12,2.634,0.146,-0.065,0.358,SWZ
68,98,Denmark,Superliga 2016/2017,182,14,2.632,0.18,0.0,0.36,DNK
69,56,Hungary,OTP Bank Liga 2016/2017,198,12,2.631,0.307,0.133,0.48100000000000004,HUN
70,30,France,Ligue 1 2016/2017,379,20,2.615,0.375,0.248,0.502,FXX
71,45,Réunion,Regionale 1 2017,182,14,2.61,0.336,0.153,0.518,REU
72,19,Ecuador,Serie A 2017,263,12,2.605,0.454,0.3,0.608,ECU
73,105,El Salvador,Primera Division 2016/2017,263,12,2.601,0.161,0.01,0.311,SLV
74,125,Myanmar,National League 2017,128,12,2.594,0.113,-0.10400000000000001,0.32899999999999996,MMR
75,124,Japan,J-League 2017,306,18,2.592,0.114,-0.026000000000000002,0.253,JPN
76,107,Bangladesh,Premier League 2016,132,12,2.591,0.152,-0.06,0.365,BGD
77,118,Lithuania,A Lyga 2017,112,8,2.58,0.132,-0.099,0.363,LTU
78,130,Slovenia,Prva liga 2016/2017,180,10,2.572,0.099,-0.083,0.282,SVN
79,11,Uzbekistan,Professional Football League 2017,233,16,2.571,0.503,0.33799999999999997,0.6679999999999999,UZB
80,151,Dominican Republic,LDF 2017,90,10,2.567,-0.021,-0.28,0.239,DOM
81,155,Bahrain,Premier League 2016/2017,90,10,2.556,-0.048,-0.31,0.213,BHR
82,41,Moldova,Divizia Nationala 2016/2017,165,11,2.539,0.341,0.147,0.536,MDA
83,38,FYR of Macedonia,First League 2016/2017,180,10,2.539,0.349,0.163,0.535,MKD
84,153,Paraguay,Primera Division 2017,264,12,2.534,-0.033,-0.184,0.11900000000000001,PRY
85,24,India,I-League 2017,90,10,2.5,0.405,0.139,0.672,IND
86,70,Czech Republic,1. Liga 2016/2017,240,16,2.488,0.259,0.098,0.42100000000000004,CZE
87,46,Venezuela,Primera Division 2017,303,18,2.482,0.331,0.18600000000000003,0.47600000000000003,VEN
88,34,Bulgaria,Parva Liga 2016/2017,182,14,2.467,0.365,0.177,0.5529999999999999,BGR
89,36,Kazakhstan,Premier League 2017,198,12,2.465,0.361,0.18,0.542,KAZ
90,76,Ukraine,Pari-Match League 2016/2017,132,12,2.462,0.241,0.022000000000000002,0.46,UKR
91,108,Mauritania,Championnat D1 2016/2017,181,14,2.453,0.149,-0.038,0.336,MRT
92,63,Palestine,West Bank League 2016/2017,131,12,2.45,0.287,0.066,0.508,PSX
93,66,Brazil,Serie A 2017,380,20,2.429,0.281,0.151,0.41200000000000003,BRA
94,99,Lesotho,Premier League 2016/2017,180,14,2.428,0.18,-0.009000000000000001,0.368,LSO
95,149,Latvia,SynotTip Virslīga 2017,96,8,2.417,-0.006,-0.264,0.251,LVA
95,26,Croatia,1. HNL 2016/2017,180,10,2.417,0.396,0.204,0.588,HRV
97,57,Namibia,MTC Premiership 2015/2016,240,16,2.412,0.304,0.139,0.469,NAM
98,139,Cape Verde,Campeonato Nacional 2017,36,12,2.389,0.047,-0.376,0.469,CPV
99,28,Kosovo,Superliga 2016/2017,196,12,2.383,0.386,0.2,0.5710000000000001,KOS
100,47,Portugal,Primeira Liga 2016/2017,306,18,2.379,0.327,0.18,0.474,PRT
101,82,Romania,Liga 1 2016/2017,181,14,2.376,0.223,0.033,0.413,ROU
102,62,Serbia,Super Liga 2016/2017,239,16,2.364,0.29,0.124,0.457,SRB
103,156,Pakistan,Premier League 2014/2015,132,12,2.333,-0.065,-0.28800000000000003,0.159,PAK
103,133,Belarus,Vysshaya Liga 2017,240,16,2.333,0.071,-0.094,0.237,BLR
105,31,Malawi,Super League 2017,239,16,2.331,0.372,0.203,0.541,MWI
106,53,Yemen,Division 1 2013/2014,180,14,2.322,0.308,0.114,0.503,YEM
107,114,Botswana,Premier League 2016/2017,240,16,2.317,0.144,-0.023,0.311,BWA
107,14,Greece,Super League 2016/2017,240,16,2.317,0.499,0.32799999999999996,0.6709999999999999,GRC
109,65,Gabon,Championnat D1 2016/2017,163,14,2.307,0.282,0.077,0.486,GAB
110,88,Argentina,Primera Division 2016/2017,450,30,2.276,0.195,0.071,0.318,ARG
111,150,Libya,Premier League 2017,83,28,2.265,-0.015,-0.324,0.293,LBY
112,17,Sudan,Premier League 2017,306,18,2.261,0.486,0.332,0.639,SDN
113,119,Egypt,Premier League 2016/2017,305,18,2.256,0.122,-0.027000000000000003,0.272,EGY
114,157,Liberia,LFA First Division 2016/2017,125,12,2.248,-0.089,-0.32299999999999995,0.145,LBR
115,81,Bosnia and Herzegovina,Premier League 2016/2017,132,12,2.242,0.231,0.001,0.46,BIH
116,48,South Africa,Premier League 2016/2017,240,16,2.242,0.322,0.151,0.494,ZAF
117,74,Republic of the Congo,Ligue 1 2017,300,18,2.237,0.244,0.091,0.397,COG
118,154,Jordan,Premier League 2016/2017,132,12,2.235,-0.034,-0.262,0.19399999999999998,JOR
119,40,Azerbaijan,Premier League 2016/2017,111,8,2.234,0.346,0.094,0.599,AZE
120,23,Morocco,Botola Pro 2016/2017,240,16,2.229,0.405,0.23199999999999998,0.578,MAR
121,86,DR Congo,Super Ligue 2016/2017,195,26,2.205,0.198,0.006,0.391,COD
122,39,Senegal,Ligue 1 2016/2017,181,14,2.204,0.348,0.149,0.547,SEN
123,3,Ghana,Premier League 2017,238,16,2.202,0.676,0.494,0.857,GHA
124,144,Armenia,Premier League 2016/2017,90,6,2.2,0.02,-0.258,0.299,ARM
125,44,Jamaica,Premier League 2016/2017,198,12,2.192,0.336,0.145,0.527,JAM
126,87,Syria,Premier League 2016/2017,239,16,2.18,0.197,0.025,0.37,SYR
127,59,Niger,Ligue 1 2016/2017,181,14,2.171,0.301,0.10099999999999999,0.502,NER
128,5,Guatemala,Liga Nacional 2016/2017,264,12,2.155,0.62,0.44799999999999995,0.792,GTM
129,13,Angola,Girabola 2017,239,16,2.151,0.499,0.321,0.6779999999999999,AGO
130,22,Colombia,Liga Aguila 2017,400,20,2.145,0.407,0.214,0.599,COL
131,89,Burundi,Ligue A 2016/2017,239,16,2.138,0.192,0.018000000000000002,0.366,BDI
132,50,Uganda,Premier League 2016/2017,237,16,2.135,0.313,0.13699999999999998,0.49,UGA
133,101,Rwanda,National Football league 2016/2017,239,16,2.134,0.174,-0.001,0.348,RWA
134,35,Russia,Premier League 2016/2017,240,16,2.133,0.363,0.187,0.539,RUS
135,113,Israel,Ligat ha'Al 2016/2017,182,14,2.132,0.145,-0.055,0.344,ISR
136,60,Iraq,Super League 2016/2017,354,20,2.11,0.299,0.153,0.446,IRQ
137,116,Iran,Persian Gulf Pro League 2016/2017,240,16,2.1,0.135,-0.04,0.31,IRN
138,15,Tunisia,Ligue Professionnelle 1 2016/2017,112,16,2.098,0.495,0.231,0.759,TUN
139,2,Algeria,Ligue 1 2016/2017,238,16,2.092,0.698,0.512,0.884,DZA
140,145,Panama,LPF 2016/2017,180,10,2.083,0.005,-0.19699999999999998,0.20800000000000002,PAN
141,51,Guinea,Ligue 1 2016/2017,181,14,2.044,0.312,0.105,0.519,GIN
142,134,Mali,Premiere Division 2016,162,19,2.031,0.064,-0.153,0.281,MLI
143,75,Kenya,Premier League 2017,304,18,2.026,0.244,0.084,0.40299999999999997,KEN
144,27,Zimbabwe,Premier Soccer League 2017,305,18,2.023,0.389,0.228,0.5489999999999999,ZWE
145,25,Montenegro,Prva Crnogorska Liga 2016/2017,197,12,2.02,0.398,0.196,0.599,MNE
146,0,Nigeria,Premier League 2017,379,20,2.011,1.195,1.0270000000000001,1.3630000000000002,NGA
147,54,Zambia,Super League 2017,379,20,2.003,0.308,0.16399999999999998,0.452,ZMB
148,18,Tanzania,Ligi Kuu Bara 2016/2017,239,16,1.971,0.48,0.294,0.665,TZA
149,10,Togo,Championnat National 2016/2017,181,14,1.934,0.51,0.293,0.726,TGO
150,142,Gambia,GFA League 2016/2017,131,12,1.908,0.032,-0.218,0.281,GMB
151,16,Albania,Super League 2016/2017,180,10,1.889,0.488,0.26899999999999996,0.7070000000000001,ALB
152,12,Mozambique,Mocambola 2017,240,16,1.867,0.501,0.31,0.6920000000000001,MOZ
153,21,Ethiopia,Premier League 2016/2017,239,16,1.837,0.433,0.24100000000000002,0.625,ETH
154,29,Sierra Leone,Premier League 2014,90,14,1.833,0.376,0.06,0.691,SLE
155,126,Ivory Coast,Ligue 1 2016/2017,182,14,1.802,0.11,-0.107,0.327,CIV
156,43,Cameroon,Elite One 2017,303,18,1.795,0.337,0.166,0.508,CMR
157,6,Benin,Championnat National 2017,162,19,1.778,0.571,0.33,0.8109999999999999,BEN
158,121,Burkina Faso,Premier League 2016/2017,240,16,1.721,0.121,-0.07200000000000001,0.314,BFA
159,1,Haiti,Championnat National 2017,237,16,1.717,0.741,0.5329999999999999,0.9490000000000001,HTI
